level,category,task_code,task_name,task_dataset_name,dataset,metric,method,ratio,score,score_percent,n_samples,n_failures,components
task_average,Temporal Multi-image,T-3,Visual Navigation and Spatial Localization,,T-3,Accuracy,LLaVA15-Student,0.2,0.315,31.5,,,EgocentricNavigation;MovingDirection
task_average,Temporal Multi-image,T-4,Counterfactual Reasoning and State Change,,T-4,Accuracy,LLaVA15-Student,0.2,0.44625,44.62,,,CharacterOrder;CounterfactualInference;SceneTransition;StateChange
task_average,Semantic Multi-image,S-1,Knowledge Grounded QA,,S-1,Accuracy,LLaVA15-Student,0.2,0.47125,47.12,,,MultiModalQA;TQA;WebQA;WikiVQA
task_average,Semantic Multi-image,S-2,Text-Rich Images QA,,S-2,Accuracy,LLaVA15-Student,0.2,0.32,32.0,,,DocVQA;OCR-VQA;SlideVQA
task_average,Semantic Multi-image,S-3,Visual Relation Inference,,S-3,ROUGE-L,LLaVA15-Student,0.2,0.162468,16.25,,,CLEVR-Change;IEdit;Spot-the-Diff
task_average,Semantic Multi-image,S-4,Dialogue,,S-4,Accuracy+ROUGE-L,LLaVA15-Student,0.2,0.286403,28.64,,,ALFRED;MMCoQA
task_average,Needle In A Haystack,NH,Needle In A Haystack,,NH,Accuracy,LLaVA15-Student,0.2,0.03125,3.12,,,ImageNeedleInAHaystack;TextNeedleInAHaystack
task_average,Image Retrieval,IR,Image Retrieval,,IR,Accuracy,LLaVA15-Student,0.2,0.093333,9.33,,,GPR1200
dataset,Temporal Multi-image,T-1,Action Understanding and Prediction,Action Localization,ActionLocalization,Accuracy,LLaVA15-Student,0.5,0.275,27.5,200,,
dataset,Temporal Multi-image,T-1,Action Understanding and Prediction,Action Prediction,ActionPrediction,Accuracy,LLaVA15-Student,0.5,0.4,40.0,200,,
dataset,Temporal Multi-image,T-1,Action Understanding and Prediction,Action Sequence,ActionSequence,Accuracy,LLaVA15-Student,0.5,0.35,35.0,200,,
dataset,Temporal Multi-image,T-2,Object and Scene Understanding,Moving Attribute,MovingAttribute,Accuracy,LLaVA15-Student,0.5,0.46,46.0,200,,
dataset,Temporal Multi-image,T-2,Object and Scene Understanding,Object Existence,ObjectExistence,Accuracy,LLaVA15-Student,0.5,0.48,48.0,200,,
dataset,Temporal Multi-image,T-2,Object and Scene Understanding,Object Interaction,ObjectInteraction,Accuracy,LLaVA15-Student,0.5,0.385,38.5,200,,
dataset,Temporal Multi-image,T-2,Object and Scene Understanding,Object Shuffle,ObjectShuffle,Accuracy,LLaVA15-Student,0.5,0.315,31.5,200,,
dataset,Temporal Multi-image,T-3,Visual Navigation and Spatial Localization,Egocentric Navigation,EgocentricNavigation,Accuracy,LLaVA15-Student,0.5,0.315,31.5,200,,
dataset,Temporal Multi-image,T-3,Visual Navigation and Spatial Localization,Moving Direction,MovingDirection,Accuracy,LLaVA15-Student,0.5,0.315,31.5,200,,
dataset,Temporal Multi-image,T-4,Counterfactual Reasoning and State Change,Character Order,CharacterOrder,Accuracy,LLaVA15-Student,0.5,0.435,43.5,200,,
dataset,Temporal Multi-image,T-4,Counterfactual Reasoning and State Change,Counterfactual Inference,CounterfactualInference,Accuracy,LLaVA15-Student,0.5,0.33,33.0,200,,
dataset,Temporal Multi-image,T-4,Counterfactual Reasoning and State Change,Scene Transition,SceneTransition,Accuracy,LLaVA15-Student,0.5,0.675,67.5,200,,
dataset,Temporal Multi-image,T-4,Counterfactual Reasoning and State Change,State Change,StateChange,Accuracy,LLaVA15-Student,0.5,0.41,41.0,200,,
dataset,Semantic Multi-image,S-1,Knowledge Grounded QA,Complex Multimodal QA,MultiModalQA,Accuracy,LLaVA15-Student,0.5,0.64,64.0,200,,
dataset,Semantic Multi-image,S-1,Knowledge Grounded QA,Textbook QA,TQA,Accuracy,LLaVA15-Student,0.5,0.41,41.0,200,,
dataset,Semantic Multi-image,S-1,Knowledge Grounded QA,Webpage QA,WebQA,Accuracy,LLaVA15-Student,0.5,0.59,59.0,200,,
dataset,Semantic Multi-image,S-1,Knowledge Grounded QA,Long Text with Images QA,WikiVQA,Accuracy,LLaVA15-Student,0.5,0.22,22.0,200,,
dataset,Semantic Multi-image,S-2,Text-Rich Images QA,Document QA,DocVQA,Accuracy,LLaVA15-Student,0.5,0.42,42.0,200,,
dataset,Semantic Multi-image,S-2,Text-Rich Images QA,OCR QA,OCR-VQA,Accuracy,LLaVA15-Student,0.5,0.06,6.0,200,,
dataset,Semantic Multi-image,S-2,Text-Rich Images QA,Slide QA,SlideVQA,Accuracy,LLaVA15-Student,0.5,0.42,42.0,200,,
dataset,Semantic Multi-image,S-3,Visual Relation Inference,Visual Change Captioning,CLEVR-Change,ROUGE-L,LLaVA15-Student,0.5,0.162572,16.26,200,,
dataset,Semantic Multi-image,S-3,Visual Relation Inference,Visual Relationship Expressing,IEdit,ROUGE-L,LLaVA15-Student,0.5,0.125283,12.53,200,,
dataset,Semantic Multi-image,S-3,Visual Relation Inference,Visual Change Captioning,Spot-the-Diff,ROUGE-L,LLaVA15-Student,0.5,0.214419,21.44,200,,
dataset,Semantic Multi-image,S-4,Dialogue,Conversational Embodied Dialogue,ALFRED,ROUGE-L,LLaVA15-Student,0.5,0.19857,19.86,200,,
dataset,Semantic Multi-image,S-4,Dialogue,Multimodal Dialogue,MMCoQA,Accuracy,LLaVA15-Student,0.5,0.385,38.5,200,,
dataset,Needle In A Haystack,NH,Needle In A Haystack,Image Needle In A Haystack,ImageNeedleInAHaystack,Accuracy,LLaVA15-Student,0.5,0.0,0.0,320,,
dataset,Needle In A Haystack,NH,Needle In A Haystack,Text Needle In A Haystack,TextNeedleInAHaystack,Accuracy,LLaVA15-Student,0.5,0.0625,6.25,320,,
dataset,Image Retrieval,IR,Image Retrieval,Image Retrieval,GPR1200,Accuracy,LLaVA15-Student,0.5,0.113333,11.33,600,,
task_average,Temporal Multi-image,T-1,Action Understanding and Prediction,,T-1,Accuracy,LLaVA15-Student,0.5,0.341667,34.17,,,ActionLocalization;ActionPrediction;ActionSequence
task_average,Temporal Multi-image,T-2,Object and Scene Understanding,,T-2,Accuracy,LLaVA15-Student,0.5,0.41,41.0,,,MovingAttribute;ObjectExistence;ObjectInteraction;ObjectShuffle
task_average,Temporal Multi-image,T-3,Visual Navigation and Spatial Localization,,T-3,Accuracy,LLaVA15-Student,0.5,0.315,31.5,,,EgocentricNavigation;MovingDirection
task_average,Temporal Multi-image,T-4,Counterfactual Reasoning and State Change,,T-4,Accuracy,LLaVA15-Student,0.5,0.4625,46.25,,,CharacterOrder;CounterfactualInference;SceneTransition;StateChange
task_average,Semantic Multi-image,S-1,Knowledge Grounded QA,,S-1,Accuracy,LLaVA15-Student,0.5,0.465,46.5,,,MultiModalQA;TQA;WebQA;WikiVQA
task_average,Semantic Multi-image,S-2,Text-Rich Images QA,,S-2,Accuracy,LLaVA15-Student,0.5,0.3,30.0,,,DocVQA;OCR-VQA;SlideVQA
task_average,Semantic Multi-image,S-3,Visual Relation Inference,,S-3,ROUGE-L,LLaVA15-Student,0.5,0.167425,16.74,,,CLEVR-Change;IEdit;Spot-the-Diff
task_average,Semantic Multi-image,S-4,Dialogue,,S-4,Accuracy+ROUGE-L,LLaVA15-Student,0.5,0.291785,29.18,,,ALFRED;MMCoQA
task_average,Needle In A Haystack,NH,Needle In A Haystack,,NH,Accuracy,LLaVA15-Student,0.5,0.03125,3.12,,,ImageNeedleInAHaystack;TextNeedleInAHaystack
task_average,Image Retrieval,IR,Image Retrieval,,IR,Accuracy,LLaVA15-Student,0.5,0.113333,11.33,,,GPR1200
